GeneASymbol	GeneAid	GeneBSymbol	GeneBid	PubmedID Evidence Score	Type	
ATPSYN-B	39143	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HAY	39202	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG6418	39218	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG42575	39255	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SCYL	39270	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
PI3K68D	39329	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPT4R	39351	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG5645	39382	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
ADK1	39396	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GCN5	39431	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
ARA	39439	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CAUP	39440	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPS4	39484	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HML	39529	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG32137	39537	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HSC70CB	39557	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PROSBETA2	39628	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG6888	39658	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TAF4	39765	19543366	GenomeRNAi	0.5	SL
CG33158	39834	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MED19	39987	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MED11	40042	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
REPT	40092	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG42674	40205	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
POLO	40232	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SIZ	40327	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG42337	40335	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPN10	40388	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VHAM9.7-B	40389	19543366	GenomeRNAi	0.5	SL
RPB8	40415	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG14459	40476	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	SSL1	40509	19543366	GenomeRNAi	0.5	SL
MES2	40514	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG32944	40560	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CTRIP	40596	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG14658	40603	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GNF1	40607	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PROSBETA7	40639	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MIA	40667	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SEC23	40694	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
MED27	40696	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG1218	40718	SPN-A	40975	19165344	GenomeRNAi	0.5	SL
SPN-A	43577	VHA14-2	40748	19543366	GenomeRNAi	0.5	SL
CG42724	40785	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG1024	40789	SPN-A	40975	19165344	GenomeRNAi	0.5	SL
SCR	40833	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
GFZF	40858	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPA-70	40972	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
EIF4AIII	40987	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PROSBETA3	41079	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG16734	41100	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GSTZ2	41133	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RHOL	41136	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MURA	41145	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HYD	41181	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
RPT3R	41190	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG4570	41306	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PPS	41524	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
DROJ2	41646	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG9588	41672	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPII140	41721	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPII15	41741	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	SPN-B	41746	19543366	GenomeRNAi	0.5	SL
EIF-2GAMMA	41843	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	SRP	41944	19543366	GenomeRNAi	0.75	SL
ABD-A	42037	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
14-3-3EPSILON	42186	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG18599	42191	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VHA100-4	42214	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	XRP1	42267	19543366	GenomeRNAi	0.5	SL
CG5466	42444	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPS20	42464	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
RPS30	42470	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SLMB	42504	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
C15	42544	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
INR	42549	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	T-CP1	42649	19543366	GenomeRNAi	0.5	SL
CG7031	42704	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPS3	42761	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPT2	42828	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TSC1	42862	19543366	GenomeRNAi	0.5	SL
NCT	42964	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPS27	43039	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MED28	43079	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG5432	43189	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG6420	43218	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HIS2AV	43229	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
L(3)MBT	43288	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
MTL	43319	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPL4	43349	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MFRN	43353	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG4884	43357	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG9997	43395	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPN2	43449	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPS8	43532	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG31038	43535	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TACE	43558	19543366	GenomeRNAi	0.5	SL
RPL32	43573	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
JON99FI	43622	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	WTS	43651	19543366	GenomeRNAi	0.5	SL
L(3)03670	43672	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG12054	43694	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPL6	43723	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
EF1ALPHA100E	43736	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPS3A	43768	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PAN	43769	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
BIP2	43793	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	THD1	43796	19543366	GenomeRNAi	0.5	SL
MED26	43816	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
NEJ	43856	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPL10	43864	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
ATF3	43867	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	SUN	44046	19543366	GenomeRNAi	0.5	SL
SNS	44097	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
EIF5B	44261	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VHA16-1	44307	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	UBA2	44496	19543366	GenomeRNAi	0.75	SL
CT	44540	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
LOLA	44548	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPL37A	44783	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
E(BX)	44811	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
PH-D	44889	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HSP70BA	44921	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
